total_pressure,total_enthalpy,heat_transfer_coef,Velocity,Temperature,predicted_h,x_position_m,Re_local,Nu_x,h_correlation
37.84423767,289073.9684,913.7236096,10,1000,584.9178052,0,0,0,#DIV/0!
6.097199346,611895.24,649.0125559,10,1000,565.0417339,0.0025,1666.666667,12.10855453,116.2421235
-0.354423942,660797.4177,313.0421435,10,1000,145.5774858,0.005,3333.333333,17.12408203,82.19559375
0.475477142,671891.9303,236.8204127,10,1000,229.4284647,0.0075,5000,20.97263165,67.11242127
0.289813564,677423.445,198.8179817,10,1000,191.8105895,0.01,6666.666667,24.21710905,58.12106173
0.293415364,681096.858,173.5810385,10,1000,167.0401633,0.0125,8333.333333,27.07555103,51.98505798
0.251600175,683791.3135,155.0697148,10,1000,150.7765436,0.015,10000,29.65978011,47.45564818
0.23800113,685900.4103,140.5799039,10,1000,134.1909794,0.0175,11666.66667,32.03622401,43.93539293
0.22303669,687615.9826,128.793672,10,1000,121.6493819,0.02,13333.33333,34.24816406,41.09779688
0.21450574,689052.8845,118.9219511,10,1000,118.6975802,0.0225,15000,36.32566358,38.74737448
0.207230607,690282.1902,110.4764487,10,1000,109.6552235,0.025,16666.66667,38.29061148,36.75898702
0.201985551,691352.0466,103.1263881,10,1000,100.7743499,0.0275,18333.33333,40.15953212,35.04831894
0.197533325,692295.7752,96.64284447,10,1000,96.25107352,0.03,20000,41.94526329,33.55621063
0.193885557,693137.5699,90.85960149,10,1000,89.39475282,0.0325,21666.66667,43.65801422,32.23976434
0.19065131,693895.3523,85.65353636,10,1000,86.06612338,0.035,23333.33333,45.30606249,31.06701428
0.187791915,694582.7936,80.93072428,10,1000,80.57961475,0.0375,25000,46.89623003,30.01358722
0.18518973,695210.511,76.61822381,10,1000,75.33598706,0.04,26666.66667,48.43421811,29.06053086
0.18280739,695786.9156,72.65824976,10,1000,70.68069189,0.0425,28333.33333,49.92484929,28.19285607
0.180600223,696318.7673,69.00436087,10,1000,68.87375016,0.045,30000,51.3722461,27.39853125
0.178539992,696811.5814,65.61866511,10,1000,64.63148509,0.0475,31666.66667,52.77996553,26.66777206
0.176602416,697269.9096,62.46989282,10,1000,61.87799732,0.05,33333.33333,54.15110206,25.99252899
0.174768562,697697.5524,59.53193318,10,1000,59.08624251,0.0525,35000,55.48836767,25.36611094
0.173018114,698097.7182,56.78274432,10,1000,56.8384345,0.055,36666.66667,56.79415498,24.78290399
0.171349011,698473.1323,54.2036031,10,1000,53.87224875,0.0575,38333.33333,58.0705875,24.23815826
0.169749542,698826.1289,51.77847322,10,1000,51.64729663,0.06,40000,59.31956022,23.72782409
0.168206814,699158.7253,49.49349489,10,1000,49.36480388,0.0625,41666.66667,60.54277263,23.24842469
0.166710491,699472.6741,47.33662897,10,1000,47.25897858,0.065,43333.33333,61.74175581,22.79695599
0.165245195,699769.5106,45.29732607,10,1000,44.40341911,0.0675,45000,62.91789494,22.37080709
0.163796414,700050.5897,43.36627851,10,1000,42.94383461,0.07,46666.66667,64.07244803,21.96769647
0.162363079,700317.1077,41.53526807,10,1000,40.71315013,0.0725,48333.33333,65.2065617,21.58562042
0.160932043,700570.1295,39.79697842,10,1000,39.97237038,0.075,50000,66.32128453,21.22281105
0.159493875,700810.6,38.14491788,10,1000,38.63894606,0.0775,51666.66667,67.41757838,20.87770169
0.158040384,701039.3718,36.57322882,10,1000,36.21137445,0.08,53333.33333,68.49632813,20.54889844
0.156534041,701257.2299,35.07651833,10,1000,35.03003334,0.0825,55000,69.55835004,20.23515637
0.155069068,701464.8088,33.65042717,10,1000,33.81598166,0.085,56666.66667,70.60439896,19.93535971
0.153736013,701662.938,32.2892572,10,1000,32.45355437,0.0875,58333.33333,71.63517464,19.64850504
0.152367765,701844.2232,31.04380728,10,1000,31.29619003,0.09,60000,72.65132716,19.37368724
0.150891483,702006.2047,29.93097591,10,1000,29.73131599,0.0925,61666.66667,73.65346177,19.11008738
0.149437138,702151.916,28.92992273,10,1000,28.86337863,0.095,63333.33333,74.64214308,18.85696246
0.148048434,702283.8646,28.02342266,10,1000,27.96640511,0.0975,65000,75.61789878,18.61363662
0.146715317,702404.0836,27.19750508,10,1000,27.16384125,0.1,66666.66667,76.58122295,18.37949351
0.145424109,702514.2197,26.44085729,10,1000,26.25349684,0.1025,68333.33333,77.53257897,18.15396971
0.144161494,702615.6148,25.74426148,10,1000,25.72001754,0.105,70000,78.47240212,17.93654906
0.142921044,702709.3712,25.10014672,10,1000,25.06180235,0.1075,71666.66667,79.40110192,17.72675764
0.141700022,702796.4054,24.50221632,10,1000,24.45048383,0.11,73333.33333,80.31906423,17.52415947
0.140490871,702877.488,23.94517003,10,1000,23.76322919,0.1125,75000,81.22665309,17.32835266
0.139297813,702953.2691,23.42454443,10,1000,23.33964103,0.115,76666.66667,82.12421242,17.13896607
0.13811859,703024.3021,22.9365427,10,1000,22.8702413,0.1175,78333.33333,83.01206754,16.95565635
0.136946512,703091.0636,22.4778907,10,1000,22.29059118,0.12,80000,83.89052658,16.77810532
0.135783783,703153.967,22.0457452,10,1000,22.05784794,0.1225,81666.66667,84.75988168,16.60601764
0.134623351,703213.3733,21.63761906,10,1000,21.73957854,0.125,83333.33333,85.62041016,16.43911875
0.133461056,703269.5944,21.25137269,10,1000,21.1360874,0.1275,85000,86.47237552,16.27715304
0.13229748,703322.9032,20.88513408,10,1000,20.87961397,0.13,86666.66667,87.31602843,16.11988217
0.131138699,703373.5439,20.53722523,10,1000,20.47770684,0.1325,88333.33333,88.15160755,15.96708363
0.129985868,703421.732,20.20616579,10,1000,20.19663106,0.135,90000,88.97934034,15.81854939
0.128839605,703467.6591,19.89064071,10,1000,19.88317429,0.1375,91666.66667,89.79944376,15.67408473
0.12770012,703511.4961,19.589476,10,1000,19.4757552,0.14,93333.33333,90.61212497,15.53350714
0.126565794,703553.397,19.30161465,10,1000,19.28053016,0.1425,95000,91.41758192,15.39664538
0.125436454,703593.5002,19.02610386,10,1000,19.00609186,0.145,96666.66667,92.21600391,15.26333858
0.124311504,703631.9305,18.76208609,10,1000,18.66997507,0.1475,98333.33333,93.00757211,15.13343546
0.123189917,703668.8011,18.50878366,10,1000,18.49560443,0.15,100000,93.79246005,15.00679361
0.122071073,703704.2152,18.26548663,10,1000,18.17145551,0.1525,101666.6667,94.57083406,14.8832788
0.120954742,703738.2665,18.03155121,10,1000,17.99582093,0.155,103333.3333,95.34285368,14.76276444
0.119841873,703771.0399,17.80639792,10,1000,17.782867,0.1575,105000,96.10867204,14.64513098
0.118732792,703802.6125,17.58949558,10,1000,17.57156908,0.16,106666.6667,96.86843621,14.53026543
0.11762642,703833.0561,17.38034866,10,1000,17.39816296,0.1625,108333.3333,97.62228755,14.41806093
0.116521634,703862.4371,17.1785003,10,1000,17.12289308,0.165,110000,98.370362,14.30841629
0.115418955,703890.816,16.98353645,10,1000,16.95734697,0.1675,111666.6667,99.11279036,14.20123563
0.11431905,703918.2481,16.79507968,10,1000,16.79899839,0.17,113333.3333,99.84969857,14.09642803
0.113222052,703944.7845,16.61277808,10,1000,16.5848252,0.1725,115000,100.581208,13.9939072
0.112127243,703970.4729,16.43630202,10,1000,16.43194663,0.175,116666.6667,101.3074355,13.89359116
0.111034107,703995.3578,16.26534504,10,1000,16.25394244,0.1775,118333.3333,102.028494,13.795402
0.109942106,704019.4806,16.09962356,10,1000,16.09831238,0.18,120000,102.7444922,13.69926563
0.108851427,704042.8791,15.93887858,10,1000,15.92686941,0.1825,121666.6667,103.4555352,13.60511148
0.107763241,704065.5884,15.78287078,10,1000,15.76173258,0.185,123333.3333,104.1617245,13.51287237
0.106677031,704087.6416,15.63136987,10,1000,15.63320474,0.1875,125000,104.8631582,13.42248425
0.105591407,704109.0703,15.484157,10,1000,15.45711671,0.19,126666.6667,105.5599311,13.33388603
0.104506955,704129.9037,15.34103566,10,1000,15.34004149,0.1925,128333.3333,106.2521348,13.2470194
0.103424984,704150.168,15.20182621,10,1000,15.19129455,0.195,130000,106.939858,13.16182868
0.102345047,704169.8883,15.06635431,10,1000,15.0541414,0.1975,131666.6667,107.6231867,13.07826067
0.101266301,704189.089,14.93445208,10,1000,14.88125659,0.2,133333.3333,108.3022041,12.99626449
0.100188512,704207.7927,14.80596328,10,1000,14.7823395,0.2025,135000,108.9769907,12.91579149
0.09911198,704226.0205,14.68074356,10,1000,14.68831442,0.205,136666.6667,109.6476247,12.83679509
0.098037035,704243.7923,14.55865806,10,1000,14.55884289,0.2075,138333.3333,110.3141818,12.75923066
0.096964114,704261.1264,14.43958263,10,1000,14.41111653,0.21,140000,110.9767353,12.68305547
0.095893491,704278.0396,14.32339952,10,1000,14.32645037,0.2125,141666.6667,111.6353568,12.60822853
0.094823991,704294.5492,14.20998708,10,1000,14.19929215,0.215,143333.3333,112.2901152,12.53471053
0.093754034,704310.6722,14.09922796,10,1000,14.09112673,0.2175,145000,112.9410779,12.46246376
0.092684587,704326.4233,13.99102612,10,1000,13.93184564,0.22,146666.6667,113.58831,12.391452
0.091618379,704341.8154,13.88529465,10,1000,13.83634047,0.2225,148333.3333,114.2318749,12.32164044
0.090554688,704356.8615,13.78194129,10,1000,13.75905953,0.225,150000,114.8718344,12.25299567
0.08949203,704371.5746,13.68087391,10,1000,13.64760517,0.2275,151666.6667,115.5082484,12.18548554
0.088430199,704385.9677,13.58200385,10,1000,13.58003735,0.23,153333.3333,116.141175,12.11907913
0.087368639,704400.0524,13.48525181,10,1000,13.49135396,0.2325,155000,116.7706711,12.05374669
0.086308523,704413.8392,13.39054902,10,1000,13.39615079,0.235,156666.6667,117.3967918,11.98945958
0.085250898,704427.3378,13.29782834,10,1000,13.32008771,0.2375,158333.3333,118.0195908,11.92619023
0.084195462,704440.5579,13.20702173,10,1000,13.21753224,0.24,160000,118.6391204,11.86391204
0.083141251,704453.5092,13.1180606,10,1000,13.12014799,0.2425,161666.6667,119.2554317,11.80259943
0.082087618,704466.2013,13.03088039,10,1000,13.06457897,0.245,163333.3333,119.8685742,11.74222768
0.081034785,704478.6424,12.94542435,10,1000,13.01392991,0.2475,165000,120.4785964,11.68277298
0.079983822,704490.8406,12.86163904,10,1000,12.86431272,0.25,166666.6667,121.0855453,11.62421235
0.078935003,704502.8034,12.77947228,10,1000,12.77388868,0.2525,168333.3333,121.6894669,11.56652359
0.077887833,704514.5382,12.69887188,10,1000,12.7120825,0.255,170000,122.2904062,11.50968529
0.076842218,704526.0524,12.61978721,10,1000,12.62401038,0.2575,171666.6667,122.8884069,11.45367676
0.075798123,704537.3528,12.54217178,10,1000,12.55365248,0.26,173333.3333,123.4835116,11.398478
0.074755707,704548.4459,12.46598107,10,1000,12.47005572,0.2625,175000,124.0757621,11.34406968
0.073715214,704559.3378,12.39117406,10,1000,12.41614167,0.265,176666.6667,124.6651989,11.29043311
0.072676858,704570.0342,12.31771107,10,1000,12.29556469,0.2675,178333.3333,125.2518619,11.23755023
0.071640197,704580.5412,12.24554886,10,1000,12.25697799,0.27,180000,125.8357899,11.18540354
0.070605288,704590.8646,12.17464849,10,1000,12.1797016,0.2725,181666.6667,126.4170206,11.13397613
0.069573211,704601.0092,12.10497898,10,1000,12.11093885,0.275,183333.3333,126.9955913,11.0832516
0.068544004,704610.9796,12.03650661,10,1000,12.01784133,0.2775,185000,127.5715379,11.03321409
0.067516769,704620.7814,11.96919161,10,1000,11.96788807,0.28,186666.6667,128.1448961,10.98384823
0.066491663,704630.4196,11.90300066,10,1000,11.9024093,0.2825,188333.3333,128.7157002,10.93513913
0.065470423,704639.8981,11.83791066,10,1000,11.82511052,0.285,190000,129.2839842,10.88707235
0.064453281,704649.2209,11.77388939,10,1000,11.77137814,0.2875,191666.6667,129.8497811,10.8396339
0.063438973,704658.3934,11.71089975,10,1000,11.71224699,0.29,193333.3333,130.4131234,10.79281021
0.062425193,704667.4198,11.64891334,10,1000,11.64597928,0.2925,195000,130.9740426,10.74658811
0.061413429,704676.3032,11.5879118,10,1000,11.5598289,0.295,196666.6667,131.5325699,10.70095484
0.060402479,704685.0462,11.52787436,10,1000,11.52272874,0.2975,198333.3333,132.0887355,10.65589799
0.059388949,704693.6538,11.46876553,10,1000,11.45097296,0.3,200000,132.6425691,10.61140552
0.058376111,704702.1295,11.41056654,10,1000,11.37955745,0.3025,201666.6667,133.1940998,10.56746577
0.057363995,704710.4751,11.35326524,10,1000,11.3072661,0.305,203333.3333,133.7433561,10.52406737
0.056354802,704718.6945,11.29682694,10,1000,11.27804451,0.3075,205000,134.290366,10.4811993
0.055348513,704726.7925,11.24121989,10,1000,11.23754043,0.31,206666.6667,134.8351568,10.43885085
0.054342425,704734.7712,11.18643777,10,1000,11.16811009,0.3125,208333.3333,135.3777552,10.3970116
0.053341603,704742.6309,11.13247881,10,1000,11.12932458,0.315,210000,135.9181875,10.35567143
0.052342402,704750.3763,11.07929893,10,1000,11.07356383,0.3175,211666.6667,136.4564794,10.31482049
0.051342412,704758.0111,11.02687807,10,1000,11.0253808,0.32,213333.3333,136.9926563,10.27444922
0.050350325,704765.5387,10.97519598,10,1000,10.97318281,0.3225,215000,137.5267427,10.23454829
0.049359478,704772.9622,10.92422879,10,1000,10.9435954,0.325,216666.6667,138.058763,10.19510866
0.048372788,704780.2361,10.87436879,10,1000,10.9435954,0.3275,218333.3333,138.5887411,10.15612148
0.047360811,704787.4071,10.82522032,10,1000,10.81825573,0.33,220000,139.1167001,10.11757819
0.046342032,704794.5317,10.77629635,10,1000,10.75601378,0.3325,221666.6667,139.642663,10.07947041
0.045352653,704801.5675,10.72796582,10,1000,10.72704666,0.335,223333.3333,140.1666523,10.04179002
0.044375054,704808.5031,10.68033748,10,1000,10.67803018,0.3375,225000,140.6886901,10.00452907
0.043411423,704815.3407,10.63339442,10,1000,10.62970381,0.34,226666.6667,141.2087979,9.967679853
0.042458579,704822.083,10.58711061,10,1000,10.58945695,0.3425,228333.3333,141.7269971,9.931234832
0.041516967,704828.7234,10.54154844,10,1000,10.52563873,0.345,230000,142.2433084,9.895186674
0.04057801,704835.3322,10.49610976,10,1000,10.4966215,0.3475,231666.6667,142.7577525,9.859528228
0.03964062,704841.8237,10.45152919,10,1000,10.45025603,0.35,233333.3333,143.2703493,9.824252521
0.038710374,704848.1763,10.407998,10,1000,10.40671442,0.3525,235000,143.7811186,9.789352757
0.037784892,704854.4889,10.3646765,10,1000,10.36042033,0.355,236666.6667,144.2900799,9.754822305
0.036863656,704860.721,10.32190952,10,1000,10.31896037,0.3575,238333.3333,144.7972522,9.720654696
0.035946484,704866.8742,10.2796872,10,1000,10.27929559,0.36,240000,145.3026543,9.686843621
0.035032688,704872.9505,10.23799365,10,1000,10.23601102,0.3625,241666.6667,145.8063045,9.653382921
0.034122477,704878.9518,10.19681513,10,1000,10.18299754,0.365,243333.3333,146.308221,9.620266587
0.033215845,704884.8798,10.15614116,10,1000,10.15174903,0.3675,245000,146.8084215,9.587488752
0.032313414,704890.7359,10.11596251,10,1000,10.10530272,0.37,246666.6667,147.3069235,9.555043689
0.031415513,704896.5214,10.07627016,10,1000,10.07401061,0.3725,248333.3333,147.8037443,9.522925804
0.030522555,704902.2377,10.03705447,10,1000,10.03205559,0.375,250000,148.2989006,9.491129636
0.029634635,704907.8861,9.998305633,10,1000,9.999544275,0.3775,251666.6667,148.7924091,9.459649849
0.02875211,704913.468,9.960014387,10,1000,9.952155547,0.38,253333.3333,149.2842862,9.428481231
0.027875345,704918.9847,9.922172403,10,1000,9.918546335,0.3825,255000,149.7745479,9.397618689
0.027004704,704924.4373,9.884771375,10,1000,9.882191745,0.385,256666.6667,150.26321,9.367057247
0.026140421,704929.827,9.847802835,10,1000,9.84891906,0.3875,258333.3333,150.7502881,9.336792039
0.025282795,704935.155,9.811258743,10,1000,9.808449399,0.39,260000,151.2357976,9.306818311
